text,irony
70岁行政拘留无效，75岁能减轻甚至是免除刑事责任，要知道刑事责任一般都是出现人伤事件才是刑事责任😏,0
8/256表示毫无压力😏,0
9.9一桶1000克，喝到吐😏,0
9个月的宝宝是怎么下得去手的😢😢😢,0
ATM取款机取出假钱假钱是咋进去的？🤔️,1
BGM也太大声了😵,0
额，你们还是点外卖吧，😂😂😂😂,1
CoCo一路走好🕯️🕯️🕯️😞😢,0
eva，你现在到我办公室来一下😛,0
girl😄,1
hiv病毒那种😠,0
iqoo，z1正拿在手里，想换手机，找不到理由换，😢😢😢😢😢😢现在任然流畅无比,0
kpl比赛都整天出问题，选手赛后采访说断触的都有，真的可以拿上国际舞台吗🤔️,0
LGBT不就是灭绝人口计划吗？😂😂😂,0
lxn😌,1
MD，要死了么这个人😠😠😠，把他从15楼扔下来吧😊😊😊,1
M女S男的破事还没结束啊😏，笑死,1
m我也觉得在玩这个套路😠,1
nb🙀等着吧你阿公马上就上来找你聊天,1
niāng，阿姨的意思😏,0
pollution还是population，这是嘴瓢了？还是内心？🤙,0
QQ的所有功能😛,1
qq斗地主？？😵😵,1
S不拉叽🤗,1
T55也是吊打对面的脆皮轮式😏,0
ta是男的🙇,1
USA养的🐶，没办法，来去自如,0
阿sir又不跟你讲法律🍉,1
阿弥陀佛🙏是退休金太多了，还是受了某些影响？,1
阿三：这个我们在行😏,0
阿姨的意思😏,0
啊，qq删除好友是互删的吗？是在陌生人里面来着是吧？🫢,1
啊，这个妈妈为什么会这么想🤔️也不至于动手打人吧🫢,0
啊？我看什么比例啊，我只看被撞死的男人多还是女人多😁，果然是被撞死的男人多，所以男人记得出门注意点，不然容易被撞死😁,1
啊？越来越离谱了🤓,1
啊？张薇造谣倒打一耙全国闻名小事一桩🤭浙师范行知学院女宝致人二级小事一桩🤭，盖个鸭饭给一巴掌小事一桩🤭，看来女宝犯罪皆小事呢🤭,1
啊啊啊啊啊赵露思桑稚吃了就不会哭的芋泥香酥鸭，😢😢😢😞😞😞,0
啊对对对😂,1
啊对对对😊,1
啊对对对😏让法律原谅男宝吧,1
啊对对对😏让法律原谅男宝吧，毕竟盗取公共信息不算什么,1
啊对对对😓,1
啊呦，我去😌😌😌,1
啊这舒服的不是还是摊主吗🤒,1
哎，我吃药去了😵你那份用不用帮你拿到病床来？😂,0
唉，67岁了啊😢,0
唉，大家都知道，狗只能生出狗，生不出猫的😏,1
唉🤔,0
唉🤮,1
爱喝奶茶的朋友一定要坚持喝，只要前期先为奶茶店做经济贡献，后期一定会为医院做经济贡献😄😄,1
爱家人，爱自己，积极乐观向上，还很🐂🍺，未来会更好，👏👏,0
爱玩😍,0
爱也要适度，要让孩子努力成长，让我想到了我的妈妈😫,0
安全第一👀,0
安全第一😄😄,0
岸田文雄说，我们也是欧洲人啦😂,0
按套路估计后面还得涨🤗,0
巴黎的起义传统才是跨不过去的坎😛,0
把比赛搞得像菜市场一样撒泼打滚😛,1
把老板冲走就可以不用上班了😌,0
把男厕变成女厕不叫好了吗😒那么简单,0
把你老板和我科长都冲走😂😂😂,1
把您这ip改了再说🤙,1
把农民交的公粮按月归还给老人就行了😢不敢奢望什么养老金,0
把农民交的公粮按月归还给老人就行了😢不敢奢望什么养老金，免得又被城里人说农民没交钱凭什么拿养老金,0
把人家骗睡了，还他妈毁了人家两年的时光，不应该封这个评委吗😂,0
把消息推给我们领导😌推给我干啥,0
爸爸是文盲，妈妈是精神病，半夜被拉去派出所签谅解书，希望官方给个说法，如果不是舅舅舅妈上诉，这个事就不了了之了，本来孩子精神没有问题，现在也出现了问题，😞太可怜了,0
白人不急🤔,0
白睡了😏,1
白天《理想国》，晚上《人间词话》，十点开读🤨,0
百万也不多啊😓,0
百姓的钱三七分成啊，这不转转手再赚一波抬价钱，美滋滋😄,1
班主任来了😏,1
版本更新，新的版本之主诞生😏,1
办双证不就合规合法经营了？别的地方都实施好多年了，运管部门跟平台干啥吃的😏,1
半夜不外出！就是在家里多好啊！😏,1
帮它结束痛苦呗早点转世过上幸福正常的生活👏,0
帮助了这么多人👍👍👍,0
棒子都快把华妮一家洗成韩国的了🙀🙀,0
傍晚的时候下雨了今天晚上超级凉快,0
包养违法吗？用拘留吗？😏,0
宝宝好着急呀🐶,1
宝宝杀了宝宝😢,0
宝贝生日快乐熊生顺遂😮,0
保安的工资未必比骑手高😂,0
保护环境？土壤说：不管我的事儿😛🤗，至于你后面说的那句话,0
保护有权有势，平民不参与，看到这件事心里真的难受😣,0
保温杯就能吃饱肚肚了吗，有没有可能人家不止在山上玩一天？这么想赶游客提早下山吗🙀,1
保佑🙏🏻,0
保佑所有相关人员平安🙏,0
报道进展的时候你不叫，这段时间没了你又开始了😄,0
报警，这好像以前见过这类的，hiv病毒那种😠,0
报警的后面一定有大瓜，而且报警的很容易自己反噬断捞金路😏,0
报警有用吗😊🐶🐶,1
报擎😠😠,0
暴雨的无情，洪水的危情，看的心惊胆战，消防员好样的👍👍👍,0
暴雨如注，连绵不绝，声声入耳，难以成眠，😢,0
爆炒牛肉👍,0
爆发了😌,0
爆个假🍉来反向洗白,0
爆假瓜，然后否定全盘？🤔,0
北大毕业就是就业好，来钱快😏,1
北方干热，南方湿热，都热😌,0
北方人想知道菌子是山上摘的还是菜市场买的😏菜市场卖的话有毒的分不出来吗,0
北京室内禁烟力度不行，前阵子还有新闻，航站楼烟雾缭绕，以前写字楼不禁烟，我那会被熏得都无法工作了😛😛着火的味道一样,0
北约：别看我，我的实验室只管制造病毒😏,1
背后身中加特林一个弹链，系自杀！😏😏,0
背后是否存在有利益输送😼,1
背景音乐很赞😂😂😂,0
被打纯活该🤭,1
被打的无权无势😌,1
被关押很正常，谁让你乱跑，难道想学小日本儿？🤔,1
被家暴这么多次不能离婚吗😖,0
被毛子活脱脱打出了游击队的气势😌,0
被拍妄想症😏,0
被其他人点赞时不要通知我😏😏😏,0
被偷拍好可怕🫢,0
被约谈了还存在侥幸心理😊现在又想拿家庭作坊和未成年来逃避责任吗,0
被罪犯“偷渡”过去的😎把人抛弃了就是所有被害者都是偷渡啊，我呸,1
奔驰😏😏😏,1
奔驰都能进故宫🤓,1
本高中生在学校里吃到一次大青虫一次绿色甲壳虫😢吓惨了,0
本高中生在学校里吃到一次大青虫一次绿色甲壳虫😢吓惨了，学校要是给我赔钱就好了（我们伙食费一年9600，）,0
本葛朗台才不会要🐶,0
本来还能低调点当个老三，结果多亏了同行衬托，毛子表现那么菜，我们只要当前两名了🤭,1
本来就是网红段子，你确想起来隐私😌,0
本来就是资阳机场，坐高铁去没毛病😏,0
本来用自行车骑到三亚都已经够炸裂的了，结果还是跑去别人别墅半个月半个月啊，更更炸裂的事还是痞幼的别墅，更更更炸裂的，是他的名字叫朱一龙，😌😌😌,0
本人乡镇狗，一年休假时间都不到60天😏😏😏,0
笨蛋，不能用来播电音版古兰经吗？😏,0
比挨骂强不？🤔,0
比棒子更贱的就是二棒子，那么多动物园，就二棒子天天拿棒子来拉踩，熊猫是，娱乐圈是，文化是，建议二棒子自己把自己送给棒子，别天天盯着中国的东西😍😍,0
比江西收的还多😛,0
比较好奇怎样落实？公务员，国企，事业单位还好说，毕竟自己人😏,1
比母爱还无私，😌😌😌😌,0
比如拜振华似也说过疫情使美利坚减少了多少“billion”（十亿）人口，其真实意图，其实是多少“million”（百万），奈何与中文里的大额量词只递进十倍相比，英语中是递进了一千倍！“误差”之多寡，语言之“优越”，在此便体现出来了🐼,0
比我吃的好😋,0
比亚迪之类的😏,0
比照唐山烧烤店事件处理就好了😆,0
必须付出代价😠😠,0
必须击毙😊,1
必须加强人民治安管理😏什么人呐,1
必须让他们付出代价😊,0
必须让她付出代价😠😠😠😠,0
必须上报联合国，看看我们的头条新闻,1
必须是小马🐴🐱,0
必须刑拘😏,1
必须用栏杆拦上~😁😂😂,0
必须这样自保🙇😏,1
毕竟平时吃鸭脖要比吃海鲜机会多吧🤗,1
毕竟人生只有一次😏尊重这种选择,1
毕竟生活磨掉了你的想象力😏,1
毕竟谁都觉得自己是最好的😓,0
毕竟我们自己都还有搞“养狼计划”🍉,0
毕竟这玩意报应不那么快😂,1
毕竟抓捕枪击案、杀人案的嫌犯和抓捕诈骗案嫌犯还是有点区别的😂,0
毕竟自己人😏,1
毕业就做大茶饭😏,0
闭经期的死亡本能驱动，😊,0
编辑了一次还有错别字😏,0
编制希望永远都可以保证🤗,0
变态吧，看人家拉屎很高兴吗？🤮🤮🤮,0
变态畜生统统慢行病痛折磨惨死😠😠😠,0
飙戏没用，那句哭着喊“我从头到尾没说过一句脏话”，旁边的同学都忍不住笑😌要是没视频真的吃了个哑巴亏😌,0
表示已经看过了😛,0
表示自己都没体验过😌,0
表演淹到眉毛一个月活着给我看下😂😂😂😂,0
别，我不沾男😁，让喜欢擦亮眼的娇妻和婚女和男人锁死，反正我们怎么劝她们不婚，她们依旧要擦亮眼去结婚的😁,0
别把自己骗了😄,1
别背叛祖宗啊🤔,0
别逼我骂你，你承受不住，😊,1
别出来评论国际事务了🤗，唉,1
别存钱了😏,0
别当井底之蛙😊,1
别的还没具体了解过🍉,0
别的门呢？别就处理牵手门🤨,0
别跟团得了😌,0
别管他，他觉得我在打拳呢🙄没救了,1
别和稀泥😊,1
别介意，反正这就是♂饱日常行为，和吃饭是一样的，这是很正常的，♂不需要赔钱，不需要道歉，只需要♀饱给♂饱道歉就可以了，♂饱会原谅你的，,1
别就处理牵手门🤨,0
别开发旅游就完了😏,1
别来啊😵😵😵,0
别买期房，别买期房，别买期房，真想捶死当时买房时的自己😢,0
别嚷嚷那么大声😏,0
别让韩国抢先了😏😏,1
别人说什么信什么🤔️🤗,1
别是自己意淫🍉,0
别墅空着也是浪费，这倒是给大家提供了一个方案，以后去海南等地休假，可以找找类似的别墅住下，节约开支😂😂😂😂😂😂,0
别说，他还跳挺好，😂😂😂😂😂,0
别说大实话😌,1
别天天盯着中国的东西😍😍,0
别玩梗了，天灾，望安全最大化，损失最小化！🙏,0
别一味的怪男人😏😏😏😌,0
别又是用乌龙来博眼球消遣观众😏,0
别在这什么解决办法没有只会叫唤😌,0
并不属于商场啊😂,0
并不用每次都扫码😒,0
病毒🦠表示，我不喜欢臭丝袜，也不喜欢臭水沟😌,0
病毒表示这锅我不背😡,0
病毒是它们家的？🤬🤔,0
病友😁,1
波波揍起来真爽😆,0
波公千古😢👍,0
播它个一季🤗🤗🤗,0
泊车公司就敢让你破产😏😏😏,0
博大精深😱😱,0
不，我不承认，我就是躺平，😋,1
不，我只是单纯厌蠢😏,0
不把柜台里的金银珠宝收起来的😏,0
不必在意😂！过几天就好了😌,0
不充会员就有2.79mb算是很良心了好吗，要知道某度那可直接是按kb算的，而且还几十kb／s😂,1
不处罚的话我准备组团去拍照了😁,0
不传谣🐰,0
不存在，还这两年都自责和懊悔，要笑死谁😛,0
不存在强制堕胎😂,1
不错🤤,0
不答应能咋滴🙀,0
不带俄罗斯有屁用😌,1
不带脑子发言的呐😋,1
不担心，相册都是自拍照和美食风景照😌,0
不到岗就是扣钱😡,1
不得查一查有没有什么见不得人的证据落人手上啊😏,0
不得了了😒,1
不懂了吧，停高架上😂,1
不服你生女儿啊或者让男孩入赘😏,1
不服忍着🐱🐱,1
不敢，只敢管比自己弱的😂敢霸气制止大人吵闹吗？,1
不敢来😏,1
不敢说了🫡,1
不干涉，不打扰，暖心的爱🌹,0
不管内容是啥先点赞🐱,0
不管你信不信~我反正不信的😏,1
不管拍没拍她儿子，她打人就已经输了🤗,0
不管是企业还是校园都是趋同的😞这也是本科的时候毅然决然离开东三省区域读书的原因😖,0
不管谁的孩子都不能这么打吧，还是小婴儿😓,0
不过不影响预防性维权😂,0
不过是浙江的😏希望我女儿以后也能上清华吧,0
不过这个是真的，我过年的时候从广东开车到东北，一路上的所有服务区都是女厕所排很久，男的人不多，没办法，希望多搞点女厕所吧😌,0
不行，要冲先冲我老板的🧎🧎,1
不薅你羊毛，去哪薅？反正得薅😠😠😠轮着来哎,0
不喝奶茶😏,0
不合理，最好取消音乐节，一群208戏子😓,1
不合适😊,0
不厚道😓😓,0
不会吧😂,1
不会搞到最后又是浪费警力吧😏,1
不会又是瞎堆放吧🤔,0
不讲道德你能咋滴😏,1
不近人情了，这个规定反人类！不能喝饮料可以理解，喝几口水就罚款这不是深井冰吗？还是在这么炎热的夏天🤗如果因为不让喝水引起身体不适需要送医地铁方面能负责吗？,0
不久之后产量会上来的🤔,0
不就不用检了😂,0
不就是爬了自家学校的API数据😱😱外行说得这么吓人,0
不开更节能😂开个玩笑哈,0
不看事实了是吧🤗,1
不可能的，要是能为农民工谋福利的话就不叫印度了😏,1
不可以要求去冰，说去了冰口味不对，没有这种做法😊,1
不愧是日本😵,1
不愧是首都啊，就是嘎嘎上大分😏,0
不劳你费心了，哥在国内的饮食非常健康 ，不像你们穷屌丝，喜欢喝核废水,1
不理解😂😂😂😂😂😂😏😏😏,1
不理解😵,0
不良艺人应该封杀😏,0
不留功与名😂,0
不骂蓝V？😌,0
不买东西的就是低等的就是穷鬼贱民🤗有生之年我是肯定不跟团去云南了,1
不明白就算可以持有枪支，放家里不收好开着保险还能让孩子拿到😓,1
不明觉厉😏,0
不能处理情侣关系😏,1
不能带开水，起码可以带温水吧，主办方10块钱一杯水，这吃相着实太难看，还不如直接明抢好了，一杯一万块！🍉,1
不能喝水就喝鸭血粉丝汤吧😛,1
不能急于求成，有战果就行👍,1
不能评论你在干嘛🍉,1
不能说大实话😁,0
不能选没有公摊吗？现在至少都得20%😵,0
不能再多了~👏😁,0
不怕危险观望啥😉,0
不配出现在厕所门上🤔️,1
不平常👁😁,0
不去不就行了吗，😌,1
不然不知道自己能扛过几波😵,0
不然给你们好看😊,1
不然毛孩子怎么办呀😢😢😢,0
不然体现不了你们的高尚😏😏,1
不然我可能会叫起来😌,0
不然我是不信的😊,0
不然有进步就肯定有退步的😂,0
不然找回来还是会再走😏,0
不认识🍉🍉🍉,0
不认识也不知道，只知道公平很难实现🤗,1
不认同🐶🐶🐶,1
不容易啊，这小作文👍,1
不如多关注公益呗🤗,0
不如状告王某某消费欺诈😏,0
不上新闻就不修理？不然为啥这点破事还要上个新闻😂,1
不是，百度一下很麻烦？😏,1
不是，怎么离谱了，😔,0
不是否认了吗？😏😏,1
不是或许，已经开始了，现在公共场所三岁小孩都要被歧视，感觉这股仇童歪风越吹越猛了😊,0
不是酒都可以喝吧，渴了怎么办？😱,1
不是临海吗😂😂😂😂,0
不是临海吗😂😂😂😂，一模一样的新闻换了个地名又看到了一遍,0
不是蛮好的，🍉,0
不是没问题吗给人家吃呗🐶,0
不是每个坐牢的人都人性泯灭，比如有的是防卫过失杀人，或者之前有个辱母案，母亲被侮辱，作为儿子在现场怎么能忍受，过去对对方捅刀也不是完全不能理解，这样的人进监狱，良心依然还在，因为他本来就不是坏人，事出有因才犯法的！所以不是所有被判刑坐牢的人都是蛇蝎心肠，也有好人😌,0
不是强制要求执行就是空话，🤔,0
不是傻😛,0
不是善心被糟蹋就是有些人中饱私囊🧎🧎,0
不是双方都自愿的吗😊你怎么知道女方怎么想,1
不是我冤，是我武举老爷冤😄,1
不是一夜情yp吗？怎么说成谈恋爱了？打胎是真的，还有他妈妈的事也没说，粉丝真好骗🍉,1
不是因为楼顶置放的珍珠岩吸（雨）水变重才塌的吗😏,0
不舒服就走了啊！这么坚持在那个包间？😱,0
不说别的，请北京室内禁烟向香港看齐🙇🙇,0
不说明造成事件真正原因，怎么追责😱,0
不说说车主是谁吗？这瓜不熟吗？😈😈😈,0
不算吗😢😢😢,1
不贪心就不会被骗😛,0
不提前把商品转移还放在店里实在是不理解😵😵😵,0
不信😁😁😁😁😁,1
不信啊家人们😢😢😢,1
不信谣，不传谣🐰,0
不需要道歉，判刑就行了，🤮,1
不需要的不是正常人吧🍉,1
不要吵了，35岁是原罪😞,0
不要给领导舔麻烦🤔🤔,0
不要钱的都不收，要钱的还敢给？里面要是毒品，等着判刑吧🤭,0
不要说你是信阳的😌,0
不要随便下水救人😓,0
不影响他人和自己的安全有序出行🤔,0
不应该封这个评委吗😂,0
不应该是盖被吹空调嘛😛,0
不用花一分钱就重新进去了😌,0
不用买票，拿药上车🫢,0
不用找导游还要看他们脸色🧎,0
不用坐牢🤨,0
不孕不育门诊这么多排队，人家都希望有个宝宝疼啊，投胎到这畜生家😢,0
不造谣，还怎么，能向盎格鲁撒克逊～犹太统治阶级邀功呢🤓,1
不只自己赚还能啃老那😁,1
不知不觉你就被监督了😌,1
不知道当然要从轻😊,0
不知道费用多少😌😌😌,0
不知道哪个伟人说过：没有无缘无故的爱，也没有无缘无故的恨！😂,0
不知道你这结论怎么来的🤗,1
不知道手机拍照可以放大吗😏,0
不知道谁蠢谁坏😂😛,1
不知道为啥国内这么多black鬼？😠,0
不知道现在黄山上的那个宾馆跟小卖部卖不卖方便面😌,1
不知道这种怎么惩罚，不要关几天就出来了，😢,0
不止365天🌹🌹,0
不至啥时候会掉下来块陨石，还是别出门了😛😛😛,1
不至于😂😂😂,1
不装了，摊牌了，😌,1
不足一千按一千算😊,0
不做房奴自由一生👊,0
部分捐赠物资受捐的时候是临期，临期不代表过期，而且说的是部分临期，剩下的那部分呢？是直接过期了还是比较新鲜啊？🤭,1
部门规章地方规章）😏,0
才导致现在学院霸凌肆意滋生😠😠😠,0
才十刀，少了😠,0
财路要断了吧？🍉🍉,1
裁判拳击主教练算不算给中国足球蒙羞🤔,1
彩礼应该和当地新生儿性别比例挂钩，男孩多彩礼就贵，不服你生女儿啊或者让男孩入赘😏,1
踩着腿过去吧，不小心踩断了也不怕，就当是路，反正路就是这么踩着过的😁,1
蔡签😏,0
参加暴乱被杀死不值得同情😏😏😏这么多人,0
参加暴乱被杀死不值得同情😏😏😏这么多人，只是趁机作乱的土匪罢了,0
仓鼠云😮,0
苍老师可不去😌,1
苍蝇:不好意思，我先尝了🍉,0
草，变成，清草了😏,1
草都热死了😢,0
曾经为了买两个烧饼排了俩小时队🤙,0
差不多吧，这个产业本身就是畸形的，所以就有这种畸形的要求😏,0
产假期间还双倍工资😏,0
超出体重不能上车，我觉得很有必要规定😏,1
超级期待呢😄,1
超级热😌,0
超越了全世界😂,1
炒作😏,1
车内空调，放心好了，没上车时你随意喝😌,1
车上备几个带锁的箱子有多难？死讲规矩不想办法😠,0
车上人扔鸡蛋和菜叶子给她😌,0
车是谁的？因何事上站台？走的哪个门？谁放行的？谁批准的？120上站台还得一通协调甚至找站长呢！诶？如果是站长的车或者更高级别，那就合理了，😛😛😛,1
车主外出不在怎么办🤔,0
扯吧，硕士在上海都要不了8，k😏现在还在上海找工作呢,0
成都的小吃真的太好吃了😋,0
成都人民是不是在火焰山也抵挡不了吃火锅的心😏,0
成都只下了一两个小时😓,0
成功把照片找回来了🤗,0
成年人我全都喜欢😉😚🌹,0
乘客逃生你为什么还要强调下性别和年龄😱,0
吃个🍉,0
吃个早餐就晕倒死亡😌,0
吃瓜🍉,0
吃瓜😏,0
吃瓜吃到自己家~😌,0
吃瓜的表示：偶像不需要x生活，不能处理情侣关系😏,1
吃瓜呢🙀,0
吃火锅😋,0
吃火锅😏,0
吃火锅的时候就不记得热这件事了😌,0
吃了三明治🤓,0
吃冷饮家里摄像头还对着床是吧😏,1
吃螺蛳粉吧😛,0
吃肉🤑其实真不难，跟对的人，做对的事，做短线的，点我博👁瞧瞧[看涨]进裙盘中实战👁做长线者勿看！！！,1
吃西瓜🤙,0
吃猪蹄就挺好的🍉🍉,0
痴情种给女主播打赏😆,0
迟了🤭,0
冲鸭～，在主任宝宝的带动下，宝贝们火力全开，[太開心],0
虫子咬断电路影响行车安全，行车不安全会导致人命伤亡，这哪能罚款了事，应该追究刑事责任才行啊！😌😌,1
臭流氓😠,1
臭鸟😏,1
出来都是😛,0
出来维护下秩序了🍉,0
出了事的大多是辅警😊,0
出了问题当地主管本来就该辞职啊😓,1
出门不拴狗自己就是狗，🤮🤮🤮,1
出生率这不挺高的嘛😏,1
出事了不算学校的🤔️看来收了很多钱,1
除非一公一母，😂😂😂,0
除了打嘴炮也没别的办法了😊,1
处处是商机😌,1
处理到人😏,0
处理没毛病啊，既然疑似精神病就应该去鉴定一下🤔🤔是精神病就该怎么办怎么办，不是也该怎么办怎么办，互联网老有人爱跟精神病计较,1
畜生😠,0
畜生啊，这么小都下得了手😢,0
畜生都喜欢在公共场合露蹄爪😂,0
川菜赛高,0
川菜说鲁菜咸😂,0
川大校训😏,1
川大又雄起了😖,1
川渝是一家？😛,0
穿丝袜的话我就忍了😛,0
穿一次跟我要洗不冲突，我也有可能洗完再扔😏现在的点是洗坏了,0
穿衣服?让我怎么露肉?🤮,1
床上自由翻滚🤭,0
吹到北京去了😏,0
纯探讨🍉,0
戳啦，全国不是只有这个景点连着摆渡车卖票😏,1
此刻现在座我对面两个小朋友在吃饼🥰🥰🥰长沙地铁6号线,1
此时此刻的我😛,0
此事和特别势力有无干系，？？？😠,0
聪明可爱的小熊猫😏,0
从23工作到33也买不到一套房😄😄,0
从福建登陆关东莞什么事，最多受点外围影响😂,0
从宽还15年🍉🍉🍉,0
从来不点外卖，商家可能把同样的饭菜，别人吃不完的与点的外卖混在一起，分量多了，你下次还会光顾，😓😓😓,0
从来就没有绝对公平🤗,1
从来就没有绝对公平🤗，只有相对，每个省情况都不一样啊，哎，🥹，都很难，都是为了自家孩子能上个好学校,1
从没有看过哪个国家的景区把自然景观都围起来收钱，国家的自然景观是全民所有的最普惠的福利，这是为了钱什么都做得出来？😏,0
从小就武德充沛，赢麻了👍👍,1
从小熊到老🐰🐰🐰,1
促进消费，没钱怎么消费🤔,1
醋😏😏😏一加加很多😏,0
村BA太棒了😌,0
存量房贷款利率给普降一下吧😌,1
错别字啊，又苍蝇？方言吗😌,0
打工是不可能的，😏,0
打工这辈子都不可能打工😏,0
打雷了😍没有雨,0
打人无罪😄,1
打胎过😓,0
打印机都抗议了😏,0
大部分都是自愿😓,0
大胆😂,1
大多情况都是踩空了或者跌倒滑倒了在抖一下😌😌,0
大概陈情令吧，看过七八遍了，都快会背了，😁😁😁陪着我吃饭挺好的,0
大概率就是微商😏,0
大概是玩了星穹铁道吧😏知道放生矿泉水只会被“星神”当**，放生其他动植物会自己被“放生”😛,1
大哥，印尼，印度尼西亚😏,0
大哥你但凡多关注个分享奇闻逸事的博主也不至于说这么小家子气的话😉,1
大哥你但凡多关注个分享奇闻逸事的博主也不至于说这么小家子气的话😉，全球各地多了去了,1
大国措施😏,1
大好的云南呀，被弄成这样，好可惜呀，话说，这个绿色t-shirt记者，长得好英武呀😻,0
大家都不敢说了吗😏,1
大家都过上好日子🙏,0
大家都看腻了🐰,1
大家都平平安安😢,0
大家都辛苦了❤,0
大家都要注意安全啊😢😢😢,0
大家都注意安全🌧,0
大家说说会是谁😏,0
大家忘了那个火锅配雪糕，最后急性会厌炎的女生了吗？👋👋👋有些人喉咙经不起这样的刺激，一旦持续肿大一定及时就医,0
大家一起气死他，给国家省点养老金🤗,1
大佬就是大佬😏,0
大力支持，国企员工和公务员都有福啦,1
大连把熊猫养得真好❤,0
大陆也可以轰炸台北哦😏,1
大妈应该检查下那个女的手机看看是不是有自己儿子的照片，没有大概率是被女的删除了，大妈作为一个几十岁的人了应该不会平白无故诬人清白呢😏，我支持大妈😄😄,0
大妈作为一个几十岁的人了应该不会平白无故诬人清白呢😏,0
大马猴😌,1
大麦跟黄牛本来就是一家啊😂,1
大麦以前就是倒票的😏,1
大麦自己就是牛头😂,1
大毛：东方大国不在禁止之列😏,0
大毛也可以吧😒,0
大毛这个防空没谁了😱首都防御都这么烂😌,0
大人不过遵循传统三妻四妾，拉手这个，连妾都算不上，不过外室，怎么有错？😏,1
大头娃娃让全世界笑话，最可笑还是被外国人曝光的，事实摆在眼前，意淫别人没有的事，🤭🤭🤭真可怜啊！,1
大象鼻子会喷水😏,1
大象鼻子长，应该是男卫生间😏,1
大熊猫🐶,0
大爷不错👍,0
大医院，预约个检查可以要等一个礼拜😌,0
大义🙏🙏,0
大雨好像要一直下到后天😱,0
大中国美景,0
大字型😌,0
带别的东西不能吃？🤔️,0
带降噪耳机🐶🐶🐶,0
待遇低，肯定心里不舒服😂关键解决报酬问题，质量自然好,0
戴帽子不丢人😛😛,0
单免问题不大😏,0
单日打倒老胡🤓,0
单休有谁管管，😛,0
但并不能算人的😛,0
但不管有没有偷拍打破人家头这妈妈都得拘个几天吧🐱,0
但凡你抬头看看天也不至于说出这种话😂,1
但凡千千万万中的其中一个圣母能把它带回家，只要一个圣母能收养它，它就不用天天被驱赶了😞😞😞💔💔💔😢😢😢,1
但考编有🍉,0
但你比我还真差远了🤗,1
但是不是网传视频里的那种推广🤔,0
但是还想在娱乐圈捞钱😛,0
但是基本上姑爷在老丈人附近买房子😌甚至上下楼或者邻居,0
但是可以罚钱啊😂,0
但是又符合美国国情😂,0
但是这份心劲还是值得👍❤,0
但是这一句就很让人感动了😢,0
但是这一句就很让人感动了😢，世上只有妈妈好，永远都不会变,0
但是坠胎了🤔️,0
但现在的韩国政府已经跪了🍉,0
但愿不要再出那样的事故🙏🙏🙏,0
但这点钱都出不起以后怎么养娃🤔️,0
但最后的结果还是被迫和解😢😢😢,0
弹笔那个我们当年同桌俩人硬塞一两个弹簧在里面比谁跳更高😌,0
弹着弹着把正常的休息就弹没了😄,0
当初的大奔进故宫咋说😏,1
